,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
5798,Kwality Pharmaceuticals,Pharma | 501-1k Employees | Public | 41 years old | Amritsar +5 more,4.0,Skill Development / Learning,,128,626,10,2,10,--
5799,Media.net Software Services (India),Marketing & Advertising | 1k-5k Employees | 14 years old | Dubai +4 more,4.2,"Job Security, Work Life Balance, Company Culture",,128,1.5k,33,51,27,2
5800,STANPLUS TECHNOLOGIES,Healthcare | 11-50 Employees | Startup | 8 years old | Hyderabad +18 more,3.4,,"Job Security, Promotions / Appraisal, Work Life Balance",128,464,11,28,11,7
5801,Ksk Energy Ventures,Oil & Gas | 1k-5k Employees | Public | 23 years old | Hyderabad/Secunderabad +13 more,4.3,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,128,522,3,1,18,--
5802,Godrej Tyson Food,Food Processing | 201-500 Employees | Public | 16 years old | Mumbai +27 more,4.3,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,128,589,7,--,14,--
5803,SIAC SKH India Cabs Manufacturing,Industrial Machinery | 1-10 Employees | 14 years old | Palwal +7 more,3.8,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",128,649,15,--,17,--
5804,Tecnotree Convergence,Telecom | 201-500 Employees | 46 years old | Espoo +2 more,3.1,,"Promotions / Appraisal, Company Culture, Salary & Benefits",128,1.3k,5,39,22,--
5805,Orchid Hotel,Hospitality | 51-200 Employees | 51 years old | Bangalore/Bengaluru +10 more,4.3,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,128,617,6,2,21,1
5806,Ajax Engineering,Engineering & Construction | 51-200 Employees | 32 years old | Bangalore/Bengaluru +18 more,4.1,Work Life Balance,Promotions / Appraisal,128,862,3,--,12,--
5807,Oxigen Services,FinTech | 51-200 Employees | 20 years old | Gurgaon +25 more,3.8,,"Promotions / Appraisal, Salary & Benefits",128,536,3,--,19,--
5808,Welspun Transformation Services Limited,IT Services & Consulting | 5k-10k Employees | Vapi +7 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",,128,273,5,--,9,--
5809,MyCaptain,Internet | 51-200 Employees | Startup | 8 years old | Nagpur +5 more,3.5,,"Work Life Balance, Work Satisfaction, Salary & Benefits",128,339,27,4,8,--
5810,Square Bpo Services,BPO | 1k-5k Employees | 12 years old | SECUNDERABAD +4 more,3.5,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",128,494,8,2,7,7
5811,RLabs Enterprise Services,Recruitment | 1k-5k Employees | Public | 11 years old | Hyderabad/Secunderabad +11 more,3.8,,"Promotions / Appraisal, Job Security, Salary & Benefits",128,1.3k,10,12,15,--
5812,Unthinkable Solutions,IT Services & Consulting | 501-1k Employees | 5 years old | Gurgaon +2 more,3.1,,"Company Culture, Work Life Balance, Work Satisfaction",128,953,18,20,15,--
5813,WorkIndia,IT Services & Consulting | 201-500 Employees | 9 years old | Mumbai +11 more,3.2,,"Job Security, Promotions / Appraisal, Work Satisfaction",128,917,21,45,13,--
5814,Redington Gulf ,IT Services & Consulting | 1k-5k Employees (Global) | 25 years old | Dubai +2 more,3.7,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",128,899,8,6,16,--
5815,Milan Laboratories India Private Limited ,Pharma | 201-500 Employees | 48 years old | Thane +9 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,128,790,8,6,16,--
5816,Pin Click,Real Estate | 51-200 Employees | Startup | 10 years old | Bangalore +6 more,2.6,,"Job Security, Work Life Balance, Company Culture",128,466,7,11,20,--
5817,Sun Technologies ,IT Services & Consulting | 501-1k Employees | 29 years old | Atlanta +6 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,128,1.3k,12,51,15,--
5818,BlazeClan Technologies,IT Services & Consulting | 501-1k Employees | 14 years old | Pune +3 more,3.8,"Skill Development / Learning, Company Culture, Work Life Balance",,128,1.6k,14,16,17,--
5819,Caliber Technologies,IT Services & Consulting | 501-1k Employees | 23 years old | Pittsburgh +11 more,3.8,Job Security,"Salary & Benefits, Promotions / Appraisal",127,1.3k,7,3,14,--
5820,Facebook,Internet | 1k-5k Employees | Forbes Global 2000 | 20 years old | Menlo Park +22 more,4.4,"Salary & Benefits, Company Culture, Work Life Balance",,127,1.4k,56,--,22,6
5821,Jasper Industries,Automobile | 501-1k Employees | 69 years old | Hyderabad +16 more,4.3,"Work Satisfaction, Job Security, Company Culture",Promotions / Appraisal,127,510,5,--,13,--
5822,YFC PROJECTS,Engineering & Construction | 51-200 Employees | 38 years old | Gurgaon/Gurugram +13 more,3.8,"Skill Development / Learning, Job Security, Work Life Balance",,127,651,6,--,7,--
5823,Unify Technologies,IT Services & Consulting | 201-500 Employees | 9 years old | Bellevue +8 more,3.3,,"Job Security, Company Culture, Skill Development / Learning",127,1k,13,48,19,--
5824,MeritTrac,EdTech | 201-500 Employees | 24 years old | Bangalore +14 more,4.1,Company Culture,"Promotions / Appraisal, Job Security",127,647,--,--,15,--
5825,SPX Flow Technology,Industrial Machinery | 51-200 Employees | 44 years old | Charlotte +8 more,4.4,"Work Life Balance, Company Culture, Salary & Benefits",,127,884,8,--,16,--
5826,Mit World Peace University,Education & Training | 1k-5k Employees | Pune +4 more,3.6,,"Promotions / Appraisal, Company Culture, Work Satisfaction",127,756,6,18,16,--
5827,Shyam Steel Manufacturing,1k-5k Employees | Kolkata +26 more,3.6,,"Work Satisfaction, Job Security, Promotions / Appraisal",127,613,9,2,4,--
5828,Centelon,IT Services & Consulting | 201-500 Employees | 8 years old | Melbourne +7 more,4.4,"Work Satisfaction, Company Culture, Job Security",,127,376,5,2,73,8
5829,Aagna Global Solutions,BPO | 201-500 Employees (Global) | 10 years old | Chennai +4 more,3.5,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",127,410,3,--,10,--
5830,Hartex Rubber,Auto Components | 201-500 Employees | 63 years old | Hyderabad/Secunderabad +11 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture",127,584,6,5,7,--
5831,Automation Anywhere,Industrial Automation | 1k-5k Employees | 21 years old | San Jose +8 more,3.8,Salary & Benefits,"Job Security, Company Culture, Skill Development / Learning",127,1.7k,10,13,20,--
5832,Modern Business Solutions,Recruitment | 5k-10k Employees | 20 years old | Ahmedabad +58 more,3.9,,"Promotions / Appraisal, Job Security, Salary & Benefits",127,456,6,--,10,--
5833,ING Vysya Bank,Banking | 5k-10k Employees | Public | 22 years old | Mumbai +41 more,4.4,"Company Culture, Work Life Balance, Work Satisfaction",,127,388,4,--,14,--
5834,Accentuate Technology,IT Services & Consulting | 1-10 Employees | Bangalore / Bengaluru +11 more,4.3,"Company Culture, Job Security, Work Life Balance",,127,720,17,--,30,--
5835,Sri Chaitanya Schools,Education & Training | 11-50 Employees | Public | 38 years old | Hyderabad +36 more,3.9,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal",127,860,13,--,71,--
5836,CMR Engineering College,Education & Training | 201-500 Employees | 14 years old | Hyderabad +5 more,4.5,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,127,157,2,--,72,--
5837,Birla Cellulose,Pulp & Paper | 201-500 Employees | Surat +12 more,4.0,"Skill Development / Learning, Job Security, Promotions / Appraisal",,127,656,7,--,14,--
5838,ACN Health care,BPO | 11-50 Employees | 2024 years old | Bangalore/Bengaluru +3 more,3.8,,"Promotions / Appraisal, Job Security",127,778,1,3,12,7
5839,Six Sigma Soft Solutions,IT Services & Consulting | 1k-5k Employees | 24 years old | Chennai +20 more,3.2,,"Promotions / Appraisal, Company Culture, Work Satisfaction",127,1.2k,14,--,6,--
5840,MeritTrac,EdTech | 201-500 Employees | 24 years old | Bangalore +14 more,4.1,Company Culture,"Promotions / Appraisal, Job Security",127,647,--,--,15,--
5841,CMR Engineering College,Education & Training | 201-500 Employees | 14 years old | Hyderabad +5 more,4.5,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,127,157,2,--,72,--
5842,Tata Ficosa Automotive Systems,Auto Components | 201-500 Employees | 26 years old | Pune +10 more,4.0,"Skill Development / Learning, Job Security",,127,657,4,--,19,--
5843,SPX Flow Technology,Industrial Machinery | 51-200 Employees | 44 years old | Charlotte +8 more,4.4,"Work Life Balance, Company Culture, Salary & Benefits",,127,884,8,--,16,--
5844,Accentuate Technology,IT Services & Consulting | 1-10 Employees | Bangalore / Bengaluru +11 more,4.3,"Company Culture, Job Security, Work Life Balance",,127,720,17,--,30,--
5845,Collman Services,BPO | 201-500 Employees | Chennai +14 more,4.0,"Skill Development / Learning, Company Culture, Salary & Benefits",,127,541,4,--,8,--
5846,Sri Chaitanya Schools,Education & Training | 11-50 Employees | Public | 38 years old | Hyderabad +36 more,3.9,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal",127,860,13,--,71,--
5847,Birla Cellulose,Pulp & Paper | 201-500 Employees | Surat +12 more,4.0,"Skill Development / Learning, Job Security, Promotions / Appraisal",,127,656,7,--,14,--
5848,Sundaram Home Finance ,NBFC | 1k-5k Employees | Public | 25 years old | Chennai +48 more,4.2,"Work Life Balance, Job Security, Company Culture",,127,569,6,--,12,--
5849,Trident Automobiles,Auto Components | 201-500 Employees | 26 years old | Bangalore/Bengaluru +6 more,4.6,"Company Culture, Skill Development / Learning, Work Satisfaction",,127,515,--,4,18,--
5850,Inchcape Shipping Services,Ports & Shipping | 201-500 Employees | 177 years old | London +11 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",127,806,9,51,15,--
5851,NexTurn ,IT Services & Consulting | 51-200 Employees | Startup | 3 years old | Bellevue +3 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,127,88,5,38,6,7
5852,Embitel Technologies,IT Services & Consulting | 501-1k Employees | 18 years old | Bangalore +3 more,4.3,"Job Security, Company Culture, Work Life Balance",,127,1.4k,10,56,10,4
5853,Mohani Tea Leaves,FMCG | 201-500 Employees | 32 years old | Kanpur +17 more,3.9,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",127,550,3,8,22,--
5854,Flemingo Duty Free Shop,Retail | 201-500 Employees | 27 years old | Navi Mumbai +15 more,4.2,"Skill Development / Learning, Work Life Balance",,127,618,2,2,13,--
5855,AML RightSource,New Delhi +7 more,3.1,,"Promotions / Appraisal, Company Culture, Job Security",127,778,13,15,19,2
5856,Swiss Garnier Life Sciences,Pharma | 201-500 Employees | 19 years old | Chennai +9 more,3.7,,"Promotions / Appraisal, Skill Development / Learning",126,664,10,2,19,--
5857,Wicked Ride Adventures,Internet | 51-200 Employees | Startup | 10 years old | Bangalore +8 more,4.0,"Work Satisfaction, Work Life Balance, Company Culture",Job Security,126,851,1,--,11,--
5858,Prothious Engineering Services,Design | 1k-5k Employees | 19 years old | Mumbai +5 more,3.3,Job Security,"Work Life Balance, Company Culture, Promotions / Appraisal",126,413,4,3,21,--
5859,Prudent Corporate Advisory Services,Investment Banking / Venture Capital / Private Equity | 501-1k Employees | 24 years old | Ahmedabad +45 more,4.1,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",126,536,4,7,10,--
5860,Nippo Batteries,Auto Components | 1k-5k Employees | 52 years old | Chennai +33 more,4.2,"Job Security, Salary & Benefits, Work Life Balance",,126,549,6,--,16,1
5861,Corrtech International,Engineering & Construction | 201-500 Employees | 42 years old | Ahemdabad +27 more,3.9,,,126,612,--,--,7,4
5862,SITA,IT Services & Consulting | 5k-10k Employees | 75 years old | Geneva +19 more,3.9,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,126,951,8,15,24,--
5863,Marque Impex,Import & Export | 1k-5k Employees | 28 years old | Moradabad +4 more,4.1,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",126,595,7,--,14,1
5864,Ashish Life Science,Pharma | 201-500 Employees | 49 years old | Mumbai +8 more,4.2,"Company Culture, Work Life Balance, Work Satisfaction",,126,436,7,4,55,--
5865,Jyote Motors,Automobile | 51-200 Employees | 28 years old | Bhubaneswar +10 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",126,527,3,--,7,2
5866,Vsun Mobile,Telecom | 51-200 Employees | 13 years old | Dubai +9 more,3.9,"Skill Development / Learning, Company Culture",,126,346,2,--,26,--
5867,Thejo Engineering,Engineering & Construction | 501-1k Employees | Public | 50 years old | Chennai +27 more,3.9,Job Security,Promotions / Appraisal,126,712,12,2,17,--
5868,Wonderchef Home Appliances,Consumer Electronics & Appliances | 201-500 Employees | 15 years old | Mumbai +23 more,3.8,,Promotions / Appraisal,126,667,7,--,12,--
5869,Bry-Air (Asia),Industrial Machinery | 1k-5k Employees | 43 years old | Gurgaon/Gurugram +13 more,4.0,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",126,700,5,1,15,--
5870,GGK Technologies,IT Services & Consulting | 1k-5k Employees | 20 years old | Duluth +3 more,3.5,"Skill Development / Learning, Job Security",Salary & Benefits,126,1.6k,2,--,30,6
5871,Peerless Hospital,Healthcare | 201-500 Employees | 92 years old | Kolkata +5 more,4.1,"Job Security, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",126,428,1,--,4,--
5872,Lauren Information Technologies,IT Services & Consulting | 501-1k Employees | 32 years old | Mumbai +13 more,4.0,,Promotions / Appraisal,126,1k,3,5,11,5
5873,Etihad Airways,Aviation | 51-200 Employees | 21 years old | Abu Dhabi +12 more,4.1,"Work Life Balance, Skill Development / Learning, Salary & Benefits",,126,494,7,--,23,--
5874,Infocus Technologies,IT Services & Consulting | 11-50 Employees | 17 years old | Kolkata +11 more,3.8,,"Promotions / Appraisal, Job Security, Salary & Benefits",126,499,5,4,5,--
5875,Innovision,Facility Management Services | 201-500 Employees | 17 years old | Gurgaon/Gurugram +31 more,3.3,,"Work Satisfaction, Job Security, Promotions / Appraisal",126,567,9,1,11,--
5876,Camp K-12,EdTech | 51-200 Employees | 14 years old | Gurgaon +5 more,3.2,,"Job Security, Promotions / Appraisal, Company Culture",126,645,6,107,8,1
5877,Optiemus Electronics,Electronics Manufacturing | 1k-5k Employees | 8 years old | Noida +5 more,3.9,,"Promotions / Appraisal, Salary & Benefits, Company Culture",126,578,6,--,14,--
5878,Amar Cars,Automobile | 501-1k Employees | 18 years old | Vadodara +10 more,3.9,,,126,536,7,2,11,--
5879,Denso Ten Minda India,Auto Components | 51-200 Employees | 12 years old | Bawal +7 more,4.2,"Job Security, Work Life Balance, Company Culture",,126,691,8,--,13,--
5880,Network Intelligence India,Law Enforcement & Security | 201-500 Employees | 23 years old | New York +9 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",126,1.2k,10,14,15,--
5881,Hospital Chemist,New Delhi +57 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",,126,1.2k,7,--,8,--
5882,Bewakoof ,Fashion & Textile | 201-500 Employees | 13 years old | Mumbai +8 more,3.9,"Work Life Balance, Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Job Security",126,826,7,42,23,--
5883,Montage Enterprises,Packaging | 201-500 Employees | 22 years old | Mumbai +10 more,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,126,553,2,--,14,--
5884,Mahindra Sanyo Special Steel,Iron & Steel | 1k-5k Employees | 91 years old | Khopoli +7 more,3.9,"Job Security, Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",126,682,6,--,14,--
5885,Amar Cars,Automobile | 501-1k Employees | 18 years old | Vadodara +10 more,3.9,,,126,536,7,2,11,--
5886,Optiemus Electronics,Electronics Manufacturing | 1k-5k Employees | 8 years old | Noida +5 more,3.9,,"Promotions / Appraisal, Salary & Benefits, Company Culture",126,578,6,--,14,--
5887,Jyote Motors,Automobile | 51-200 Employees | 28 years old | Bhubaneswar +10 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",126,527,3,--,7,2
5888,Marque Impex,Import & Export | 1k-5k Employees | 28 years old | Moradabad +4 more,4.1,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",126,595,7,--,14,1
5889,Lauren Information Technologies,IT Services & Consulting | 501-1k Employees | 32 years old | Mumbai +13 more,4.0,,Promotions / Appraisal,126,1k,3,5,11,5
5890,Wicked Ride Adventures,Internet | 51-200 Employees | Startup | 10 years old | Bangalore +8 more,4.0,"Work Satisfaction, Work Life Balance, Company Culture",Job Security,126,851,1,--,11,--
5891,Ashish Life Science,Pharma | 201-500 Employees | 49 years old | Mumbai +8 more,4.2,"Company Culture, Work Life Balance, Work Satisfaction",,126,436,7,4,55,--
5892, Tripjack,Travel & Tourism | 501-1k Employees | 37 years old | Mumbai +8 more,4.7,"Job Security, Work Life Balance, Company Culture",,126,206,5,4,2,1
5893,Eduvanz,FinTech | 201-500 Employees | Startup | 8 years old | Mumbai +5 more,3.7,Company Culture,"Promotions / Appraisal, Job Security",126,681,7,29,11,3
5894,Jehangir Hospital,Healthcare | 1k-5k Employees | 78 years old | Pune +3 more,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",126,554,5,1,16,--
5895,Lulu Hypermarket,Retail | 201-500 Employees | 24 years old | Abu Dhabi +22 more,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,126,463,11,5,16,--
5896,FCS Software Solutions,IT Services & Consulting | 1k-5k Employees | Public | 30 years old | Noida +13 more,3.3,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",126,796,4,90,12,--
5897,ION Group,Software Product | 1k-5k Employees | Noida +8 more,3.7,"Work Life Balance, Salary & Benefits, Job Security","Promotions / Appraisal, Skill Development / Learning",126,1.2k,39,28,8,--
5898,Affine,IT Services & Consulting | 201-500 Employees | 13 years old | Bangalore +1 more,3.3,,"Promotions / Appraisal, Work Life Balance, Company Culture",125,1.2k,23,52,15,--
5899,Inteva Products,Auto Components | 51-200 Employees | 16 years old | Troy +3 more,3.9,Work Life Balance,"Salary & Benefits, Promotions / Appraisal",125,993,8,--,21,--
5900,Tech Mahindra Foundation,Non-Profit | 11-50 Employees | 17 years old | New Delhi +20 more,4.1,"Work Life Balance, Job Security, Skill Development / Learning",,125,474,22,12,31,--
5901,Lilavati Hospital & Research Centre,Healthcare | 1k-5k Employees | 27 years old | Mumbai +8 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,125,491,2,--,15,--
5902,Teerthanker Mahaveer University,Education & Training | 1k-5k Employees | 16 years old | Moradabad +8 more,3.7,,"Company Culture, Salary & Benefits, Promotions / Appraisal",125,486,3,3,9,13
5903,MyGlamm,Beauty & Personal Care | 501-1k Employees | Indian Unicorn | 9 years old | Mumbai +26 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",125,712,8,48,15,--
5904,Appcino Technologies,IT Services & Consulting | 201-500 Employees | 11 years old | Jaipur +12 more,3.9,"Job Security, Company Culture, Work Life Balance",,125,483,11,19,6,4
5905,Affine,IT Services & Consulting | 201-500 Employees | 13 years old | Bangalore +1 more,3.3,,"Promotions / Appraisal, Work Life Balance, Company Culture",125,1.2k,23,52,15,--
5906,Bimal Auto Agency,Auto Components | 501-1k Employees | 13 years old | Bangalore/Bengaluru +6 more,3.8,,"Promotions / Appraisal, Job Security, Salary & Benefits",125,578,2,4,13,--
5907,NIMS University,Education & Training | 501-1k Employees | 16 years old | Jaipur +6 more,2.9,,"Job Security, Promotions / Appraisal, Salary & Benefits",125,610,7,1,10,--
5908,Suhail Bahwan Automobiles,Auto Components | 10k-50k Employees | 20 years old | Muscat +8 more,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,125,336,2,--,22,--
5909,Presidency University,Education & Training | 5k-10k Employees | 11 years old | Bangalore/Bengaluru +5 more,3.0,,"Promotions / Appraisal, Company Culture, Work Satisfaction",125,711,8,--,15,--
5910,Exicom Tele Systems,Gurgaon / Gurugram +10 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Job Security",125,638,4,--,20,--
5911,Sahyadri Industries,Building Material | 501-1k Employees | Public | 77 years old | Pune +21 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",125,695,7,--,9,--
5912,East African (I) Overseas Dehradun,Pharma | 201-500 Employees | 44 years old | Dehradun +4 more,3.8,,"Work Life Balance, Promotions / Appraisal",125,577,6,5,15,--
5913,Inteva Products,Auto Components | 51-200 Employees | 16 years old | Troy +3 more,3.9,Work Life Balance,"Salary & Benefits, Promotions / Appraisal",125,993,8,--,21,--
5914,Jayem Automotives,Auto Components | 501-1k Employees | 33 years old | Chennai +7 more,3.6,,"Promotions / Appraisal, Company Culture, Job Security",125,696,4,--,14,10
5915,Shree Technocrat Communication Systems,Telecom | 18 years old | New Delhi +17 more,3.9,,"Promotions / Appraisal, Salary & Benefits, Job Security",125,579,8,2,10,--
5916,Amnet Systems,IT Services & Consulting | 501-1k Employees | 24 years old | Chennai +4 more,3.7,,"Promotions / Appraisal, Salary & Benefits",125,789,4,--,11,--
5917,J Pan Tubular Components,Industrial Machinery | 51-200 Employees | 17 years old | Greater Noida +9 more,4.0,Skill Development / Learning,"Promotions / Appraisal, Job Security",125,503,6,4,12,2
5918,Intense Technologies,IT Services & Consulting | 501-1k Employees | Public | 34 years old | Hyderabad/Secunderabad +12 more,4.1,"Job Security, Skill Development / Learning, Company Culture",,125,1.2k,6,23,18,--
5919,Polaris,Automobile | 201-500 Employees | 13 years old | Medina +14 more,3.4,Work Life Balance,"Skill Development / Learning, Promotions / Appraisal, Job Security",125,1.1k,17,--,12,6
5920,Mahindra Two Wheelers,Automobile | 501-1k Employees | Public | 16 years old | Pune +34 more,4.1,"Work Life Balance, Company Culture, Work Satisfaction",,125,1.1k,4,--,45,--
5921,HMT Machine Tools,Industrial Machinery | 51-200 Employees | Central | 71 years old | Bangalore/Bengaluru +14 more,4.1,"Skill Development / Learning, Work Satisfaction, Job Security","Salary & Benefits, Promotions / Appraisal",125,619,2,--,25,--
5922,Concentric,Industrial Machinery | 51-200 Employees | Gurgaon / Gurugram +17 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",125,731,24,2,19,--
5923,Birla Shakti Cement,Engineering & Construction | Hyderabad / Secunderabad +37 more,4.1,Company Culture,"Promotions / Appraisal, Salary & Benefits",125,406,9,--,5,--
5924,Satyesh Brinechem,Chemicals | 51-200 Employees | 10 years old | Ahmedabad +7 more,3.5,,"Job Security, Promotions / Appraisal, Company Culture",125,760,14,14,17,1
5925,Videocon Industries Ltd.,Consumer Electronics & Appliances | 5k-10k Employees | Public | 45 years old | Mumbai +39 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,125,1.1k,9,1,19,--
5926,FAIRWAY ENTERPRISES,Leather | 51-200 Employees | Pochampalli +8 more,3.9,Salary & Benefits,,125,726,6,--,14,--
5927,Sellcraft Global Solutions,IT Services & Consulting | 51-200 Employees | 37 years old | Pune +8 more,3.9,,"Promotions / Appraisal, Job Security",125,1k,4,73,7,--
5928,Airproducts,Chemicals | 501-1k Employees | Public | 84 years old | Trexlertown +7 more,4.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,125,1.1k,8,--,10,--
5929,Jai Kisan,Internet | 51-200 Employees | Startup | 7 years old | Mumbai +24 more,3.7,,"Job Security, Promotions / Appraisal, Work Satisfaction",125,437,8,34,6,2
5930,L&T Power Transmission & Distribution,Power | 1k-5k Employees | Chennai +26 more,4.4,"Job Security, Skill Development / Learning, Work Satisfaction",,125,117,--,--,93,--
5931,Sri Ramachandra Institute of Higher Education and Research,Education & Training | 201-500 Employees | 34 years old | Chennai +7 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,125,664,6,--,7,--
5932,Steril Gene Life Sciences,Pharma | 51-200 Employees | 17 years old | Chennai +5 more,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",125,747,3,2,14,--
5933,Savita Oil Technologies,Chemicals / Agri Inputs | 1k-5k Employees | Public | 63 years old | Mumbai +18 more,4.2,"Job Security, Work Life Balance, Company Culture",,125,809,4,7,11,--
5934,KerryIndev Logistics,Logistics | 201-500 Employees | 40 years old | Chennai +26 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Company Culture",125,977,2,1,8,--
5935,Translumina Therapeutics,Healthcare | 201-500 Employees | 14 years old | Delhi +8 more,4.1,"Company Culture, Work Life Balance, Job Security",,125,395,6,1,56,9
5936,Egniol Services,6 years old | Ahmedabad +4 more,3.8,"Work Life Balance, Salary & Benefits, Skill Development / Learning",,125,174,6,4,1,--
5937,OneClick IT Consultancy,IT Services & Consulting | 51-200 Employees | 12 years old | Ahmedabad +2 more,4.7,"Company Culture, Job Security, Skill Development / Learning",,125,139,1,1,78,2
5938,John Crane Sealing Systems India,Industrial Machinery | 501-1k Employees | 12 years old | Chicago +3 more,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",125,854,13,12,18,--
5939,Agiliad Technologies,Industrial Automation | 201-500 Employees | 13 years old | Pune +4 more,4.0,"Skill Development / Learning, Job Security, Company Culture",,125,1.2k,13,39,10,--
5940,Agiliad Technologies,Industrial Automation | 201-500 Employees | 13 years old | Pune +4 more,4.0,"Skill Development / Learning, Job Security, Company Culture",,125,1.2k,13,39,10,--
5941,John Crane Sealing Systems India,Industrial Machinery | 501-1k Employees | 12 years old | Chicago +3 more,3.9,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",125,854,13,12,18,--
5942,Amps Electrical Facility Services,Facility Management Services | 201-500 Employees | 25 years old | Bangalore/Bengaluru +14 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Job Security",125,640,3,4,14,1
5943,SAS,IT Services & Consulting | 201-500 Employees | 48 years old | Cary +17 more,4.3,"Work Life Balance, Company Culture, Job Security",,125,1.5k,10,42,21,--
5944,e-Solutions,Recruitment | 11-50 Employees | 21 years old | San Jose +14 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",125,808,6,49,9,--
5945,Vserve Ebusiness Solutions,IT Services & Consulting | 201-500 Employees | 20 years old | New York +8 more,4.3,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,125,507,2,18,3,--
5946,Jamboree Education,EdTech | 201-500 Employees | 31 years old | Delhi +17 more,3.8,"Job Security, Skill Development / Learning",Promotions / Appraisal,125,670,6,15,15,3
5947,Open Financial Technologies Private Limited,FinTech | 201-500 Employees | Indian Unicorn | 7 years old | Bangalore +9 more,3.4,,"Promotions / Appraisal, Work Satisfaction, Job Security",125,725,14,31,3,--
5948,Daimler Truck,Bangalore / Bengaluru +3 more,3.8,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Work Satisfaction",125,1.1k,18,20,11,--
5949,Edwise International,Education & Training | 201-500 Employees | 33 years old | Mumbai +15 more,3.8,"Job Security, Work Life Balance",Salary & Benefits,125,416,5,79,5,--
5950,IonIdea Interactive,Software Product | 501-1k Employees | 33 years old | Fairfax +8 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",125,838,8,6,9,--
5951,Banaras Hindu University,Education & Training | 501-1k Employees | 108 years old | Varanasi/Benaras +16 more,4.6,"Work Life Balance, Skill Development / Learning, Company Culture",,124,339,4,--,19,--
5952,Basix,Financial Services | 1k-5k Employees | 28 years old | Hyderabad +61 more,4.0,"Work Life Balance, Company Culture, Work Satisfaction",,124,294,5,--,19,--
5953,IndianOil Skytanking,Oil & Gas | 201-500 Employees | 18 years old | Mumbai +13 more,2.9,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",124,582,5,--,19,--
